WordNet node name;Description;Examples
entity;something having concrete existence, living or nonliving;buses, dogs, waste, the-parliament-building, football, hands
location;a point or extent in space;
abstraction;a concept formed by extracting common features from examples;communism
group/grouping;any number of entities (members) considered as a unit;the-norwegian-royal-family, crowds, 
possession;anything owned or possessed;
state,the way something is with respect to its main attributes;
psychological feature;a feature of the mental life of a living organism;
act, human action, human activity; something that people do or cause to happen;swimming, handshake, kiss
event;something that happens at a given place and time;meetings, concerts, parlamentary-debates
phenomenon;any state or process known through the senses rather than by intuition or reasoning;thunder-and-lightning, hurricanes